,movie,production_budget,domestic_gross,worldwide_gross,studio,original_language,popularity,release_date,vote_average,vote_count
199,Ice Age: Continental Drift,95.0,161.321843,879.765137,Fox,en,17.537,2012-07-13,6.3,4598
200,Sex and the City 2,95.0,95.347692,294.680778,WB (NL),en,9.986,2010-05-27,5.9,809
201,The Campaign,95.0,86.907746,104.907746,WB,en,10.265999999999998,2012-08-10,5.7,982
202,Unstoppable,95.0,81.562942,165.720921,Fox,en,14.01,2010-11-12,6.4,1913
203,Unstoppable,95.0,81.562942,165.720921,Fox,en,0.6,2013-09-24,1.6,4
204,Seventh Son,95.0,17.725785,108.874967,Uni.,en,22.855999999999998,2015-02-06,5.3,1549
205,Kingsman: The Secret Service,94.0,128.261724,404.561724,Fox,en,26.103,2015-02-13,7.6,10287
206,Rise of the Planet of the Apes,93.0,176.760185,470.9862,Fox,en,22.995,2011-08-04,7.2,7259
207,A Good Day to Die Hard,92.0,67.349198,304.249198,Fox,en,15.857999999999999,2013-02-14,5.2,4437
208,The Secret Life of Walter Mitty,91.0,58.236838,187.861183,Fox,en,10.743,2013-12-25,7.1,4859
209,Jumanji: Welcome to the Jungle,90.0,404.508916,964.496193,Sony,en,20.395,2017-12-20,6.7,7213
210,Rio,90.0,143.619809,487.519809,Fox,en,14.695,2011-04-15,6.6,3730
211,The Girl with the Dragon Tattoo,90.0,102.515793,239.37397,MBox,en,17.823,2011-12-14,7.3,3971
212,Alvin and the Chipmunks: The Road Chip,90.0,85.886987,249.517956,Fox,en,14.972999999999999,2015-12-18,5.8,852
213,Pixels,90.0,78.765986,244.041804,Sony,en,2.1719999999999997,2010-04-01,7.1,35
214,Pixels,90.0,78.765986,244.041804,Sony,en,23.029,2015-07-24,5.6,4423
215,Percy Jackson: Sea of Monsters,90.0,68.559554,200.859554,Fox,en,15.762,2013-08-07,5.9,3109
216,Now You See Me 2,90.0,65.07554,328.325007,LG/S,en,25.805,2016-06-10,6.8,6744
217,Tomb Raider,90.0,58.250803,273.477501,WB,en,24.968000000000004,2018-03-16,6.3,4310
218,The Nutcracker in 3D,90.0,0.195459,20.466016,Free,en,7.566,2010-11-24,5.5,97
219,Divergent,85.0,150.947895,276.014965,LG/S,en,16.982,2014-03-21,6.9,8279
220,Hotel Transylvania,85.0,148.313048,378.505812,Sony,en,15.318,2012-09-28,6.9,5013
221,Safe House,85.0,126.18163,208.542162,Uni.,en,13.116,2012-02-10,6.4,1997
222,Tower Heist,85.0,78.04657,150.422946,Uni.,en,12.213,2011-11-04,6.0,1592
223,Mirror Mirror,85.0,64.935167,173.613482,Rela.,en,13.220999999999998,2012-03-30,5.8,2099
224,Arthur Christmas,85.0,46.462469,149.717124,Sony,en,12.981,2011-11-23,6.7,692
